ObjectID,ObjRightsType,ObjectStatusID
0,Public Domain,1
1,Public Domain,1
2,Public Domain,1
3,Public Domain,1
4,Public Domain,1
6,Public Domain,1
7,Public Domain,1
8,Public Domain,1
9,Public Domain,1
11,Public Domain,1
12,Public Domain,1
13,Public Domain,1
14,Public Domain,1
15,Public Domain,1
16,Public Domain,1
17,Public Domain,1
19,Public Domain,1
20,Public Domain,1
21,Public Domain,1
22,Public Domain,1
23,Public Domain,1
24,Public Domain,1
25,Public Domain,1
27,Public Domain,1
28,Public Domain,1
29,Public Domain,1
30,Public Domain,1
31,Public Domain,1
32,Public Domain,1
33,Public Domain,1
34,Public Domain,1
35,Public Domain,1
37,Public Domain,1
38,Public Domain,1
39,Public Domain,1
40,Public Domain,1
41,Public Domain,1
42,Public Domain,1
44,Public Domain,1
45,Public Domain,1
46,Public Domain,1
47,Public Domain,1
48,Public Domain,1
49,Public Domain,1
50,Public Domain,1
51,Public Domain,1
52,Public Domain,1
53,Public Domain,1
54,Public Domain,1
55,Public Domain,1
57,Public Domain,1
58,Public Domain,1
59,Public Domain,1
60,Full Permission,1
61,Public Domain,1
63,Public Domain,1
64,Public Domain,1
65,Public Domain,1
66,Public Domain,1
67,Public Domain,1
68,Public Domain,1
69,Public Domain,1
70,Public Domain,1
71,Public Domain,1
72,Public Domain,1
73,Public Domain,1
75,Public Domain,1
76,Public Domain,1
77,Public Domain,1
78,Public Domain,1
79,Public Domain,1
80,Public Domain,1
81,Public Domain,1
82,Public Domain,1
83,Public Domain,1
84,Online Use Only,1
85,Public Domain,1
86,Public Domain,1
87,Public Domain,1
88,Public Domain,1
89,Public Domain,1
90,Public Domain,1
91,Public Domain,1
92,Public Domain,1
93,Public Domain,1
95,Public Domain,1
97,Public Domain,1
98,Public Domain,1
99,Public Domain,1
100,Public Domain,1
101,Public Domain,1
102,Public Domain,1
103,Public Domain,1
104,Public Domain,1
105,Public Domain,1
106,Public Domain,1
107,Public Domain,1
108,Online Use Only,1
109,Public Domain,1
110,Public Domain,1
111,Public Domain,1
113,Public Domain,1
118,Public Domain,1
119,Public Domain,1
121,Public Domain,1
122,Public Domain,1
123,Public Domain,1
124,Public Domain,1
126,Public Domain,1
128,Public Domain,1
129,Public Domain,1
130,Public Domain,1
131,Public Domain,1
133,Public Domain,1
134,Public Domain,1
135,Public Domain,1
136,Public Domain,1
137,Public Domain,1
139,Copyright Protected,1
140,Copyright Protected,1
141,Copyright Protected,1
142,Copyright Protected,1
143,Copyright Protected,1
144,Copyright Protected,1
145,Public Domain,1
146,Public Domain,1
147,Public Domain,1
148,Public Domain,1
149,Public Domain,1
150,Public Domain,1
151,Public Domain,1
152,Public Domain,1
153,Public Domain,1
154,Public Domain,1
155,Public Domain,1
156,Public Domain,1
157,Public Domain,1
158,Public Domain,1
159,Public Domain,1
160,Public Domain,1
161,Public Domain,1
162,Public Domain,1
163,Public Domain,1
164,Public Domain,1
165,Public Domain,1
166,Public Domain,1
167,Public Domain,1
168,Non-Commercial Use,1
169,Need Permission,1
170,Public Domain,1
171,Public Domain,1
172,Public Domain,1
173,Public Domain,1
174,Public Domain,1
175,Full Permission,1
177,Public Domain,1
178,Public Domain,1
179,Public Domain,1
180,Need Permission,1
182,Public Domain,1
183,Need Permission,1
185,Public Domain,1
186,Public Domain,1
187,Public Domain,1
188,Public Domain,1
189,Public Domain,1
190,Public Domain,1
191,Public Domain,1
192,Public Domain,1
193,Public Domain,1
194,Public Domain,1
195,Copyright Protected,1
196,Public Domain,1
197,Public Domain,1
198,Public Domain,1
199,Public Domain,1
200,Need Permission,1
201,Public Domain,1
203,Public Domain,1
204,Public Domain,1
205,Public Domain,1
206,Public Domain,1
207,Public Domain,1
208,Public Domain,1
209,Public Domain,1
210,Public Domain,1
211,Public Domain,1
212,Public Domain,1
213,Public Domain,1
214,Public Domain,1
215,Public Domain,1
216,Public Domain,1
217,Public Domain,1
218,Public Domain,1
219,Public Domain,1
220,Public Domain,1
222,Public Domain,1
223,Public Domain,1
225,Public Domain,1
226,Public Domain,1
227,Public Domain,1
228,Public Domain,1
229,Public Domain,1
230,Public Domain,1
231,Public Domain,1
232,Public Domain,1
233,Public Domain,1
234,Public Domain,1
235,Public Domain,1
236,Public Domain,1
237,Public Domain,1
238,Public Domain,1
239,Public Domain,1
240,Public Domain,1
241,Public Domain,1
242,Public Domain,1
243,Public Domain,1
245,Public Domain,1
246,Public Domain,1
247,Public Domain,1
248,Public Domain,1
250,Public Domain,1
251,Public Domain,1
252,Public Domain,1
253,Public Domain,1
254,Public Domain,1
256,Public Domain,1
257,Public Domain,1
258,Public Domain,1
259,Public Domain,1
260,Public Domain,1
261,Public Domain,1
262,Public Domain,1
263,Public Domain,1
264,Public Domain,1
265,Public Domain,1
267,Public Domain,1
268,Public Domain,1
269,Public Domain,1
270,Public Domain,1
271,Public Domain,1
272,Public Domain,1
273,Public Domain,1
276,Public Domain,1
277,Public Domain,1
278,Public Domain,1
279,Public Domain,1
280,Public Domain,1
281,Public Domain,1
282,Public Domain,1
283,Public Domain,1
284,Public Domain,1
285,Public Domain,1
286,Public Domain,1
287,Public Domain,1
288,Public Domain,1
292,Permission with Restrictions,1
293,Public Domain,1
296,Public Domain,1
298,Public Domain,1
299,Public Domain,1
300,Public Domain,1
301,Public Domain,1
302,Public Domain,1
303,Public Domain,1
304,Public Domain,1
305,Public Domain,1
306,Public Domain,1
307,Public Domain,1
308,Public Domain,1
309,Public Domain,1
310,Public Domain,1
311,Public Domain,1
313,Public Domain,1
314,Public Domain,1
315,Public Domain,1
316,Public Domain,1
317,Public Domain,1
318,Public Domain,1
319,Public Domain,1
320,Public Domain,1
321,Public Domain,1
323,Public Domain,1
324,Public Domain,1
325,Public Domain,1
327,Public Domain,1
328,Public Domain,1
329,Public Domain,1
330,Public Domain,1
332,Public Domain,1
333,Public Domain,1
334,Public Domain,1
335,Public Domain,1
336,Public Domain,1
337,Public Domain,1
338,Public Domain,1
339,Public Domain,1
340,Public Domain,1
342,Public Domain,1
343,Public Domain,1
344,Public Domain,1
345,Public Domain,1
346,Public Domain,1
347,Public Domain,1
348,Public Domain,1
349,Public Domain,1
350,Public Domain,1
351,Public Domain,1
352,Public Domain,1
353,Public Domain,1
354,Public Domain,1
356,Public Domain,1
357,Public Domain,1
358,Public Domain,1
359,Public Domain,1
360,Public Domain,1
361,Public Domain,1
362,Public Domain,1
363,Public Domain,1
364,Public Domain,1
365,Public Domain,1
366,Public Domain,1
367,Public Domain,1
368,Public Domain,1
369,Public Domain,1
370,Public Domain,1
371,Public Domain,1
372,Public Domain,1
373,Public Domain,1
374,Public Domain,1
375,Public Domain,1
376,Public Domain,1
377,Public Domain,1
378,Public Domain,1
379,Public Domain,1
381,Public Domain,1
382,Public Domain,1
383,Public Domain,1
384,Public Domain,1
385,Public Domain,1
386,Public Domain,1
387,Public Domain,1
388,Public Domain,1
389,Public Domain,1
390,Public Domain,1
391,Public Domain,1
392,Public Domain,1
393,Public Domain,1
394,Public Domain,1
395,Public Domain,1
396,Public Domain,1
397,Public Domain,1
398,Public Domain,1
399,Public Domain,1
400,Public Domain,1
401,Public Domain,1
402,Public Domain,1
403,Public Domain,1
404,Public Domain,1
406,Public Domain,1
407,Public Domain,1
408,Public Domain,1
409,Public Domain,1
410,Public Domain,1
411,Public Domain,1
412,Public Domain,1
413,Public Domain,1
414,Public Domain,1
415,Public Domain,1
416,Public Domain,1
417,Public Domain,1
418,Public Domain,1
419,Public Domain,1
420,Public Domain,1
421,Public Domain,1
422,Public Domain,1
423,Public Domain,1
424,Public Domain,1
425,Public Domain,1
426,Public Domain,1
427,Public Domain,1
428,Public Domain,1
429,Public Domain,1
430,Public Domain,1
431,Public Domain,1
432,Public Domain,1
434,Public Domain,1
435,Public Domain,1
436,Public Domain,1
437,Public Domain,1
438,Public Domain,1
439,Public Domain,1
441,Public Domain,1
442,Public Domain,1
443,Public Domain,1
444,Public Domain,1
445,Public Domain,1
446,Public Domain,1
447,Public Domain,1
448,Public Domain,1
449,Public Domain,1
450,Public Domain,1
451,Public Domain,1
452,Public Domain,1
453,Public Domain,1
454,Public Domain,1
455,Public Domain,1
456,Public Domain,1
457,Public Domain,1
458,Public Domain,1
